model_id,target,horizon,tier,semantic_name,semantic_description,model_family,feature_set,calibration,feature_contract,label_version,spec_version,calibration_version,strategy_relevance,test_bss,test_brier,test_auc,test_pr_auc,test_ece,validation_bss,walkforward_positive_folds,walkforward_folds,nonoverlap_bss,nonoverlap_positive,positive_regime_rows,quality_grade,artifact_path,artifact_sha256,probability_output,preprocessing,train_period,validation_period,test_period,unsupported_behavior
probability_v2_candidate_v1__realized_over_range_width_ge_1__1h,realized_over_range_width_ge_1,1H,CORE,P_REALIZED_OVER_RANGE_WIDTH_GE_1_1H,Probability the realized future 1H high-low path width is at least 1x the frozen 70% range width.,logistic,all_step13,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,BOTH,0.0561298766364585,0.1038968160168706,0.6916017227235439,0.931206261490966,0.0113854627031779,0.0702668861453348,3,3,0.0049464946178522,True,2,MEDIUM,reports/step15_frozen_v2_models/probability_v2_candidate_v1__realized_over_range_width_ge_1__1h.pkl,9eed37bea357bd1e29ca85034bfe51034916524ce64270458d9b1e62cc05b5b4,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__realized_over_range_width_ge_1__2h,realized_over_range_width_ge_1,2H,CORE,P_REALIZED_OVER_RANGE_WIDTH_GE_1_2H,Probability the realized future 2H high-low path width is at least 1x the frozen 70% range width.,logistic,step11_individuals,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,BOTH,0.1070580126588525,0.1007167973464192,0.7469867454347472,0.942541364714024,0.0213324400041241,0.0807986264754272,3,3,0.1966254985769513,True,2,HIGH,reports/step15_frozen_v2_models/probability_v2_candidate_v1__realized_over_range_width_ge_1__2h.pkl,e3439cbcf2532fed2b9d65356ea8659cfd81e3fd91777b9e3c47e8e7d7d6e5aa,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__realized_over_range_width_ge_1__4h,realized_over_range_width_ge_1,4H,CORE,P_REALIZED_OVER_RANGE_WIDTH_GE_1_4H,Probability the realized future 4H high-low path width is at least 1x the frozen 70% range width.,logistic,compact_deredundant,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,BOTH,0.1233757593844959,0.1056395339123431,0.7861340013109842,0.9503683245107264,0.0299907315178869,0.0611019314417745,3,3,,False,2,HIGH,reports/step15_frozen_v2_models/probability_v2_candidate_v1__realized_over_range_width_ge_1__4h.pkl,a2a3b29df83aeee8a8a3879d6101ebb4c08481dfc27342f0d3b45159403a5338,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__realized_over_range_width_ge_1__8h,realized_over_range_width_ge_1,8H,CORE,P_REALIZED_OVER_RANGE_WIDTH_GE_1_8H,Probability the realized future 8H high-low path width is at least 1x the frozen 70% range width.,tree_depth2,compact_deredundant,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,BOTH,0.0734170618557717,0.1253860678471988,0.6180313269422181,0.910034055032832,0.0432058747187381,0.116739793473466,3,3,,False,2,MEDIUM,reports/step15_frozen_v2_models/probability_v2_candidate_v1__realized_over_range_width_ge_1__8h.pkl,c2cb3687c972e6674c86dc99c9fd9432d25a23cd52182a71404338cf9406b040,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__realized_over_range_width_ge_1__12h,realized_over_range_width_ge_1,12H,CORE,P_REALIZED_OVER_RANGE_WIDTH_GE_1_12H,Probability the realized future 12H high-low path width is at least 1x the frozen 70% range width.,logistic,step11_individuals,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,BOTH,0.1437403513710986,0.114066581987649,0.8448250106700811,0.9580745624442524,0.060818123781884,0.1410461723269164,3,3,,False,2,HIGH,reports/step15_frozen_v2_models/probability_v2_candidate_v1__realized_over_range_width_ge_1__12h.pkl,16f5e6aad774b634b874a7b119f46c91dd2c72a3dfc450969fbbc41ed219f240,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__realized_over_range_width_ge_1__24h,realized_over_range_width_ge_1,24H,CORE,P_REALIZED_OVER_RANGE_WIDTH_GE_1_24H,Probability the realized future 24H high-low path width is at least 1x the frozen 70% range width.,logistic,compact_deredundant,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,BOTH,0.0741058753812807,0.1315190993741979,0.7787795368257314,0.9275249625528812,0.0943603520426293,0.25352514500046,3,3,,False,2,MEDIUM,reports/step15_frozen_v2_models/probability_v2_candidate_v1__realized_over_range_width_ge_1__24h.pkl,707d1ba2ea5886d4608b4598cd80adb2d262b5609875ec309b7631551b272607,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__path_inside_70__4h,path_inside_70,4H,CORE,P_PATH_INSIDE_70_4H,Probability the full future 4H path remains inside the frozen Step 13 70% range containment definition.,tree_depth2,step11_individuals,none,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,BOTH,0.0428368495846094,0.0433275437354415,0.7051745635910225,0.1898648281332,0.0215181912542501,0.0614400564060484,3,3,,False,1,MEDIUM,reports/step15_frozen_v2_models/probability_v2_candidate_v1__path_inside_70__4h.pkl,6b9f8c2c705d4102f564bcf0fa89b1bbdc84ad12de5bdd62757742206235a942,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__path_inside_70__8h,path_inside_70,8H,CORE,P_PATH_INSIDE_70_8H,Probability the full future 8H path remains inside the frozen Step 13 70% range containment definition.,tree_depth2,step12_interactions,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,BOTH,0.0515744509798035,0.0560848803527777,0.6677188703159003,0.208712349437238,0.0288079278999567,0.0677458487398308,3,3,,False,2,MEDIUM,reports/step15_frozen_v2_models/probability_v2_candidate_v1__path_inside_70__8h.pkl,42956743dd81f22f902eab094358d8e9c0b8833cd7ab1e442bd6d172a91939d9,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__path_inside_70__12h,path_inside_70,12H,CORE,P_PATH_INSIDE_70_12H,Probability the full future 12H path remains inside the frozen Step 13 70% range containment definition.,logistic,all_step13,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,BOTH,0.034132229173605,0.0634249000753677,0.8667229473775353,0.3214949681348633,0.0253458064032565,0.0641882673138282,3,3,,False,2,MEDIUM,reports/step15_frozen_v2_models/probability_v2_candidate_v1__path_inside_70__12h.pkl,de146eb30b6dc810e089ae25955546cd65582bf451a8209a8108a9b76867bba0,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__path_inside_70__24h,path_inside_70,24H,CORE,P_PATH_INSIDE_70_24H,Probability the full future 24H path remains inside the frozen Step 13 70% range containment definition.,logistic,step11_individuals,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,BOTH,0.0225455764847921,0.0743207112149821,0.81218650250798,0.2793117666703394,0.053549196970732,0.12612710574284,3,3,,False,2,MEDIUM,reports/step15_frozen_v2_models/probability_v2_candidate_v1__path_inside_70__24h.pkl,abfc155cbdab7a54456166275ee68a469e7c124b6b945f047b7cc02bb3adcd5f,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
