feature,feature_type,origin,formula,lookback,source_columns,normalization,missing_value_behavior,timestamp_semantics
atr_slope_96b,CONTINUOUS,Step 11,"true_range rolling mean over 96 5m bars, differenced by 24 bars, divided by ATR_96",96 bars plus 24-bar slope lag,OHLC,normalized slope,warmup NaN preserved,computed from latest completed 5m candle at or before prediction_timestamp
rv_slope_96b,CONTINUOUS,Step 11,"annualized rolling log-return std over 96 5m bars, differenced by 24 bars, divided by RV_96",96 bars plus 24-bar slope lag,close,normalized slope,warmup NaN preserved,computed from latest completed 5m candle at or before prediction_timestamp
atr_pct_12b,CONTINUOUS,Step 11,12-bar ATR divided by close,12 bars,OHLC close,price-normalized,warmup NaN preserved,computed from latest completed 5m candle at or before prediction_timestamp
bollinger_bandwidth_20b,CONTINUOUS,Step 11,20-bar Bollinger 2-sigma upper-lower width divided by SMA basis,20 bars,close,price-normalized,warmup NaN preserved,computed from latest completed 5m candle at or before prediction_timestamp
keltner_width_20b,CONTINUOUS,Step 11,4 * 20-bar ATR divided by 20-bar SMA basis,20 bars,OHLC close,price-normalized,warmup NaN preserved,computed from latest completed 5m candle at or before prediction_timestamp
rv_12b,CONTINUOUS,Step 11,annualized rolling log-return std over 12 5m bars,12 bars,close,annualized percent,warmup NaN preserved,computed from latest completed 5m candle at or before prediction_timestamp
price_efficiency_96b,CONTINUOUS,Step 11,absolute 96-bar close change divided by rolling sum of absolute 1-bar close changes,96 bars,close,unitless 0..1-ish efficiency,warmup NaN preserved,computed from latest completed 5m candle at or before prediction_timestamp
rolling_vwap_z_96b,CONTINUOUS,Step 11,close minus rolling 96-bar VWAP divided by 96-bar ATR,96 bars,OHLC volume,ATR-normalized,warmup NaN preserved,computed from latest completed 5m candle at or before prediction_timestamp
donchian_pos_96b,CONTINUOUS,Step 11,close position within 96-bar high-low channel,96 bars,high low close,unit interval when channel nonzero,warmup NaN preserved,computed from latest completed 5m candle at or before prediction_timestamp
volume_z_96b,CONTINUOUS,Step 11,volume minus 96-bar mean divided by 96-bar volume std,96 bars,volume,z-score,warmup NaN preserved,computed from latest completed 5m candle at or before prediction_timestamp
high_atr_pct_and_rising_atr_slope,BINARY_STATE,Step 12,atr_pct_12b >= expanding q70 AND atr_slope_96b >= expanding q50,constituent lookbacks plus expanding threshold min_periods=300,selected Step 11 feature values,binary state; thresholds fitted expanding at-or-before T,NaN until constituent feature and expanding threshold are available,all constituents computed from latest completed 5m candle at or before prediction_timestamp
ema_spread_high_and_rising_atr,BINARY_STATE,Step 12,abs(ema_spread_atr_12_48b) >= expanding abs q70 AND atr_slope_96b >= expanding q50,constituent lookbacks plus expanding threshold min_periods=300,selected Step 11 feature values,binary state; thresholds fitted expanding at-or-before T,NaN until constituent feature and expanding threshold are available,all constituents computed from latest completed 5m candle at or before prediction_timestamp
low_vwap_displacement_and_low_atr,BINARY_STATE,Step 12,abs(rolling_vwap_z_96b) <= expanding abs q30 AND atr_pct_12b <= expanding q30,constituent lookbacks plus expanding threshold min_periods=300,selected Step 11 feature values,binary state; thresholds fitted expanding at-or-before T,NaN until constituent feature and expanding threshold are available,all constituents computed from latest completed 5m candle at or before prediction_timestamp
high_vwap_displacement_and_rising_atr,BINARY_STATE,Step 12,abs(rolling_vwap_z_96b) >= expanding abs q70 AND atr_slope_96b >= expanding q50,constituent lookbacks plus expanding threshold min_periods=300,selected Step 11 feature values,binary state; thresholds fitted expanding at-or-before T,NaN until constituent feature and expanding threshold are available,all constituents computed from latest completed 5m candle at or before prediction_timestamp
low_atr_and_mid_donchian,BINARY_STATE,Step 12,atr_pct_12b <= expanding q30 AND 0.35 <= donchian_pos_96b <= 0.65,constituent lookbacks plus expanding threshold min_periods=300,selected Step 11 feature values,binary state; thresholds fitted expanding at-or-before T,NaN until constituent feature and expanding threshold are available,all constituents computed from latest completed 5m candle at or before prediction_timestamp
rising_atr_and_high_volume,BINARY_STATE,Step 12,atr_slope_96b >= expanding q50 AND volume_z_96b >= expanding q70,constituent lookbacks plus expanding threshold min_periods=300,selected Step 11 feature values,binary state; thresholds fitted expanding at-or-before T,NaN until constituent feature and expanding threshold are available,all constituents computed from latest completed 5m candle at or before prediction_timestamp
low_atr_pct_and_falling_atr_slope,BINARY_STATE,Step 12,atr_pct_12b <= expanding q30 AND atr_slope_96b <= expanding q50,constituent lookbacks plus expanding threshold min_periods=300,selected Step 11 feature values,binary state; thresholds fitted expanding at-or-before T,NaN until constituent feature and expanding threshold are available,all constituents computed from latest completed 5m candle at or before prediction_timestamp
low_adx_and_falling_atr,BINARY_STATE,Step 12,adx_48b <= expanding q30 AND atr_slope_96b <= expanding q50,constituent lookbacks plus expanding threshold min_periods=300,selected Step 11 feature values,binary state; thresholds fitted expanding at-or-before T,NaN until constituent feature and expanding threshold are available,all constituents computed from latest completed 5m candle at or before prediction_timestamp
horizon_hours,HORIZON,Step 13,canonical horizon mapped to hours,none,horizon,hours,required,prediction metadata
regime,REGIME,Probability V1 snapshot,frozen regime_v1 context stored on historical snapshot,existing regime engine,snapshot.regime,categorical,preserve missing,snapshot context at prediction timestamp
